City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,lorengau,-2.0226,147.2712,26.22,86,100,3.29,PG,1675740832
323,kitimat,54.0524,-128.6534,1.21,31,100,1.59,CA,1675741208
324,turukhansk,65.8167,87.9833,-18.89,95,100,1.92,RU,1675741209
325,grindavik,63.8424,-22.4338,-1.74,86,75,15.95,IS,1675741209
326,alice,27.7523,-98.0697,20.85,88,100,8.23,US,1675741210
327,krasne,49.9145,24.6134,-7.17,96,100,3.37,UA,1675741210
328,tasiilaq,65.6145,-37.6368,-14.91,96,100,2.93,GL,1675740750
329,lahad datu,5.0268,118.327,30.48,60,24,0.23,MY,1675741211
330,wanxian,30.8039,108.3897,17.2,52,99,2.07,CN,1675741212
331,umm lajj,25.0213,37.2685,18.5,52,100,5.59,SA,1675741212
332,nagato,34.3833,131.2,9.3,78,100,2.51,JP,1675741213
333,nouadhibou,20.931,-17.0347,14.99,72,0,9.26,MR,1675741200
334,santa marta,11.2408,-74.199,30.03,54,7,5.66,CO,1675741214
335,kharovsk,59.9642,40.1912,-20.05,100,100,1.83,RU,1675741215
336,satipo,-11.2522,-74.6386,19.87,97,97,0.93,PE,1675741216
337,saint marys,30.7305,-81.5465,13.36,71,2,1.82,US,1675741219
338,belaya gora,68.5333,146.4167,-31.53,99,99,0.79,RU,1675741220
339,pokhara,28.2333,83.9833,16.99,48,66,2.09,NP,1675741220
340,scarborough,54.2797,-0.4044,3.52,80,98,0.89,GB,1675741221
341,zhaotong,27.3167,103.7167,7.51,68,99,2.02,CN,1675741222
342,kuji,40.1878,141.7689,5.15,60,43,2.87,JP,1675741223
343,oriximina,-1.7656,-55.8661,22.95,94,58,1.18,BR,1675741225
344,broken hill,-31.95,141.4333,31.02,17,0,5.77,AU,1675741226
345,olavarria,-36.8927,-60.3225,16.51,88,49,6.4,AR,1675741227
346,lysyye gory,51.5506,44.8414,-16.56,93,14,3.14,RU,1675741228
347,sakakah,29.9697,40.2064,9.76,51,5,5.84,SA,1675740790
348,riyadh,24.6877,46.7219,21.08,39,2,4.9,SA,1675741230
349,te anau,-45.4167,167.7167,13.32,79,43,3.96,NZ,1675741232
350,aleksandrov gay,50.147,48.5704,-12.39,90,72,5.75,RU,1675741232
351,shashi,30.3072,112.2447,12.82,49,52,2.68,CN,1675741233
352,bereda,43.2686,-7.5406,-3.25,100,26,1.09,ES,1675741234
353,nipawin,53.3668,-104.0009,-11.98,78,0,1.54,CA,1675741234
354,portobelo,9.55,-79.65,24.5,88,41,7.18,PA,1675741235
355,aldan,58.6031,125.3894,-30.78,87,51,0.84,RU,1675741236
356,emba,48.8264,58.1442,-14.06,90,100,3.39,KZ,1675741199
357,puteyets,65.1716,57.091,-21.42,99,100,3.15,RU,1675741237
358,presidencia roque saenz pena,-26.7852,-60.4388,27.88,30,80,1.78,AR,1675741238
359,port hardy,50.6996,-127.4199,8.1,93,100,4.63,CA,1675741216
360,piney green,34.716,-77.3202,8.28,91,0,0.0,US,1675741240
361,dengzhou,37.8086,120.7508,3.89,51,63,2.95,CN,1675741241
